Latitude,Longitude,Year,Month,Ocean,Sample_Method,Concentration_pieces_m3,Risk_Label
-0.5,-92.0,2017,10,Pacific Ocean,Plankton net,0.49,High
18.7996,-110.9158,2016,3,Pacific Ocean,Grab sample,0.001,Low
16.23,-86.26,1987,12,Atlantic Ocean,Neuston net,0.0,Low
19.3465,-81.1861,2015,3,Atlantic Ocean,Grab sample,0.001,Low
33.02,-152.9,2008,3,Pacific Ocean,Neuston net,0.0,Low
36.956525,-150.65005,2015,8,Pacific Ocean,Manta net,2.220469,High
39.9,-157.2,2012,10,Pacific Ocean,Neuston net,0.012652,Low
32.584,34.9055,2015,2,Atlantic Ocean,Manta net,4.17,High
82.6463,-154.18,2016,9,Arctic Ocean,Intake seawater pump,1.0,High
16.13,-162.0,2006,2,Pacific Ocean,Neuston net,0.00648,Low
43.95,9.873333,2018,5,Atlantic Ocean,Manta net,0.218413,High
58.613167,-5.175333,2018,1,Atlantic Ocean,Neuston net,0.016313,Low
-37.1519,22.5079,2017,12,Indian Ocean,Intake seawater pump,46.0,High
12.25,-150.21,2003,2,Pacific Ocean,Neuston net,0.0,Low
14.71,-157.43,2012,4,Pacific Ocean,Neuston net,0.0072,Low
19.24,-156.55,2011,7,Pacific Ocean,Neuston net,0.0,Low
39.26,19.771,2015,4,Atlantic Ocean,Manta net,0.716667,High
36.5349,13.1282,2014,8,Atlantic Ocean,Manta net,2.34786,High
41.379079,2.194423,2021,1,Atlantic Ocean,Manta net,0.912,High
43.87,-58.92,2005,7,Atlantic Ocean,Neuston net,0.0,Low
44.17,-62.98,1998,7,Atlantic Ocean,Neuston net,0.0,Low
41.3,-69.03,1995,8,Atlantic Ocean,Neuston net,0.01512,Low
40.93,-70.42,1993,7,Atlantic Ocean,Neuston net,0.00864,Low
39.31,-66.02,1991,5,Atlantic Ocean,Neuston net,0.00648,Low
38.13,-65.45,2002,5,Atlantic Ocean,Neuston net,0.00216,Low
35.2107,-33.9168,2013,6,Atlantic Ocean,Neuston net,0.057574,Low
39.666667,19.366667,2013,5,Atlantic Ocean,Neuston net,11.196078,High
42.07,-69.73,1998,8,Atlantic Ocean,Neuston net,0.0,Low
22.256333,-26.314667,2020,12,Atlantic Ocean,Manta net,0.192579,High
20.9308,-27.1952,2014,11,Atlantic Ocean,Grab sample,0.002,Low
33.87,-146.33,2019,7,Pacific Ocean,Manta net,2.59128,High
